xcid,clip_index,confidence,clip_start_s,clip_end_s,species_sci,species_common,is_background,main_species,date,time,country,location,lat,lon,alt,recordist,quality,length,file_url,file_name,type,sex,stage,also,remarks
1000084,1,0.9839,0.0,5.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2025-05-19,10:30,Sweden,"Andbäcken, Vännäs Municipality, Västerbottens län",63.8845,19.8533,80,Dag Österlund,A,0:21,https://xeno-canto.org/1000084/download,XC1000084-grönfink_red.mp3,call,,,,SNR 49dB (ISO/ITU)
1000084,2,0.9484,8.0,13.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2025-05-19,10:30,Sweden,"Andbäcken, Vännäs Municipality, Västerbottens län",63.8845,19.8533,80,Dag Österlund,A,0:21,https://xeno-canto.org/1000084/download,XC1000084-grönfink_red.mp3,call,,,,SNR 49dB (ISO/ITU)
1000084,3,0.9344,16.3019375,21.3019375,Chloris chloris,European Greenfinch,False,Chloris chloris,2025-05-19,10:30,Sweden,"Andbäcken, Vännäs Municipality, Västerbottens län",63.8845,19.8533,80,Dag Österlund,A,0:21,https://xeno-canto.org/1000084/download,XC1000084-grönfink_red.mp3,call,,,,SNR 49dB (ISO/ITU)
185873,1,0.9995,0.0,5.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-04-13,06:01,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",54.12,-0.5445,80,david m,A,0:33,https://xeno-canto.org/185873/download,XC185873-T03.mp3,call,male,,,Greenfinch call ... not filtered ... parabolic ... 
185873,2,0.9952,6.0,11.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-04-13,06:01,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",54.12,-0.5445,80,david m,A,0:33,https://xeno-canto.org/185873/download,XC185873-T03.mp3,call,male,,,Greenfinch call ... not filtered ... parabolic ... 
185873,3,0.9997,12.0,17.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-04-13,06:01,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",54.12,-0.5445,80,david m,A,0:33,https://xeno-canto.org/185873/download,XC185873-T03.mp3,call,male,,,Greenfinch call ... not filtered ... parabolic ... 
185873,4,0.9999,19.0,24.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-04-13,06:01,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",54.12,-0.5445,80,david m,A,0:33,https://xeno-canto.org/185873/download,XC185873-T03.mp3,call,male,,,Greenfinch call ... not filtered ... parabolic ... 
254572,1,0.2708,26.0,31.0,Passer montanus,Eurasian Tree Sparrow,True,Passer montanus,2015-05-10,05:27,United Kingdom,"Ryedale District (near  Helperthorpe), North Yorkshire, England",54.12,-0.5445,80,david m,C,0:58,https://xeno-canto.org/254572/download,XC254572-T15.mp3,"call, flight call",,,"Troglodytes troglodytes, Streptopelia decaocto, Chloris chloris",Tree sparrow calls ... not filtered ... parabolic ...
1000581,1,0.4226,5.0,10.0,Passer montanus,Eurasian Tree Sparrow,True,Passer montanus,2013-08-09,10:00,France,"Arrondissement de Rambouillet (near  Bonnelles), Yvelines, Île-de-France",48.6171,2.0472,120,Bertrand Dallet,B,1:25,https://xeno-canto.org/1000581/download,XC1000581-MOINEAU-FRIQUET-cp-posé-Bissy-90813-MD07E---.mp3,call,"female, male",adult,Chloris chloris,
1000673,1,0.9966,2.0,7.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2020-03-16,17:05,Denmark,"Viborg, Viborg Municipality, Central Denmark Region",56.4384,9.1862,40,Christian Bøggild,C,0:18,https://xeno-canto.org/1000673/download,XC1000673-Grønirisk-(Chloris-chloris)-Mstd_20200316.mp3,song,male,adult,"Fringilla coelebs, Turdus merula",
1000673,2,0.9951,11.0,16.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2020-03-16,17:05,Denmark,"Viborg, Viborg Municipality, Central Denmark Region",56.4384,9.1862,40,Christian Bøggild,C,0:18,https://xeno-canto.org/1000673/download,XC1000673-Grønirisk-(Chloris-chloris)-Mstd_20200316.mp3,song,male,adult,"Fringilla coelebs, Turdus merula",
254700,1,0.4487,20.0,25.0,Phasianus colchicus,Common Pheasant,True,Phasianus colchicus,2015-07-01,06:10,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",52.3105,13.7634,40,Sonnenburg,B,0:39,https://xeno-canto.org/254700/download,XC254700-Fasan0610.mp3,call,male,,"Emberiza calandra, Emberiza citrinella, Chloris chloris, Acrocephalus palustris",
186088,1,0.9756,4.0,9.0,Lanius collurio,Red-backed Shrike,True,Lanius collurio,2014-07-05,16:57,Lithuania,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",54.7743,25.3385,110,Juan Verhelst,B,1:30,https://xeno-canto.org/186088/download,XC186088-DM650309_Lani_coll_casa_finca_calls_juv_plus_Chlo_chl.mp3,"begging call, call",,juvenile,Chloris chloris,Two juveniles in a bush in an open area.
186088,2,0.9568,10.0,15.0,Lanius collurio,Red-backed Shrike,True,Lanius collurio,2014-07-05,16:57,Lithuania,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",54.7743,25.3385,110,Juan Verhelst,B,1:30,https://xeno-canto.org/186088/download,XC186088-DM650309_Lani_coll_casa_finca_calls_juv_plus_Chlo_chl.mp3,"begging call, call",,juvenile,Chloris chloris,Two juveniles in a bush in an open area.
186088,3,0.8733,45.0,50.0,Lanius collurio,Red-backed Shrike,True,Lanius collurio,2014-07-05,16:57,Lithuania,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",54.7743,25.3385,110,Juan Verhelst,B,1:30,https://xeno-canto.org/186088/download,XC186088-DM650309_Lani_coll_casa_finca_calls_juv_plus_Chlo_chl.mp3,"begging call, call",,juvenile,Chloris chloris,Two juveniles in a bush in an open area.
186088,4,0.8827,64.0,69.0,Lanius collurio,Red-backed Shrike,True,Lanius collurio,2014-07-05,16:57,Lithuania,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",54.7743,25.3385,110,Juan Verhelst,B,1:30,https://xeno-canto.org/186088/download,XC186088-DM650309_Lani_coll_casa_finca_calls_juv_plus_Chlo_chl.mp3,"begging call, call",,juvenile,Chloris chloris,Two juveniles in a bush in an open area.
186088,5,0.9201,85.84097505668935,90.84097505668935,Lanius collurio,Red-backed Shrike,True,Lanius collurio,2014-07-05,16:57,Lithuania,"Verkių seniūnija (near  Vilnius), Vilniaus miesto savivaldybė, Vilnius County",54.7743,25.3385,110,Juan Verhelst,B,1:30,https://xeno-canto.org/186088/download,XC186088-DM650309_Lani_coll_casa_finca_calls_juv_plus_Chlo_chl.mp3,"begging call, call",,juvenile,Chloris chloris,Two juveniles in a bush in an open area.
254828,1,0.3173,2.0,7.0,Phylloscopus trochiloides,Greenish Warbler,True,Phylloscopus trochiloides,2015-07-02,05:10,Germany,"Friedersdorf (LDS), Hort (near  Heidesee), Brandenburg",52.2956,13.7908,40,Sonnenburg,A,0:24,https://xeno-canto.org/254828/download,XC254828-günlaub0511.mp3,song,,,"Cyanistes caeruleus, Turdus merula, Phylloscopus collybita, Chloris chloris",
254828,2,0.9667,8.0,13.0,Phylloscopus trochiloides,Greenish Warbler,True,Phylloscopus trochiloides,2015-07-02,05:10,Germany,"Friedersdorf (LDS), Hort (near  Heidesee), Brandenburg",52.2956,13.7908,40,Sonnenburg,A,0:24,https://xeno-canto.org/254828/download,XC254828-günlaub0511.mp3,song,,,"Cyanistes caeruleus, Turdus merula, Phylloscopus collybita, Chloris chloris",
254828,3,0.6767,15.0,20.0,Phylloscopus trochiloides,Greenish Warbler,True,Phylloscopus trochiloides,2015-07-02,05:10,Germany,"Friedersdorf (LDS), Hort (near  Heidesee), Brandenburg",52.2956,13.7908,40,Sonnenburg,A,0:24,https://xeno-canto.org/254828/download,XC254828-günlaub0511.mp3,song,,,"Cyanistes caeruleus, Turdus merula, Phylloscopus collybita, Chloris chloris",
1000675,1,0.9857,5.0,10.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2021-03-09,10:30,Denmark,"Spøttrup, Skive Municipality, Central Denmark Region",56.6407,8.7819,0,Christian Bøggild,C,1:05,https://xeno-canto.org/1000675/download,XC1000675-Grønirisk-(Chloris-chloris)-Spøttrup-20210309.mp3,song,male,adult,Anser anser,
1000675,2,0.9309,19.0,24.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2021-03-09,10:30,Denmark,"Spøttrup, Skive Municipality, Central Denmark Region",56.6407,8.7819,0,Christian Bøggild,C,1:05,https://xeno-canto.org/1000675/download,XC1000675-Grønirisk-(Chloris-chloris)-Spøttrup-20210309.mp3,song,male,adult,Anser anser,
1000675,3,0.9576,26.0,31.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2021-03-09,10:30,Denmark,"Spøttrup, Skive Municipality, Central Denmark Region",56.6407,8.7819,0,Christian Bøggild,C,1:05,https://xeno-canto.org/1000675/download,XC1000675-Grønirisk-(Chloris-chloris)-Spøttrup-20210309.mp3,song,male,adult,Anser anser,
1000675,4,0.8908,37.0,42.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2021-03-09,10:30,Denmark,"Spøttrup, Skive Municipality, Central Denmark Region",56.6407,8.7819,0,Christian Bøggild,C,1:05,https://xeno-canto.org/1000675/download,XC1000675-Grønirisk-(Chloris-chloris)-Spøttrup-20210309.mp3,song,male,adult,Anser anser,
1000675,5,0.9999,43.0,48.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2021-03-09,10:30,Denmark,"Spøttrup, Skive Municipality, Central Denmark Region",56.6407,8.7819,0,Christian Bøggild,C,1:05,https://xeno-canto.org/1000675/download,XC1000675-Grønirisk-(Chloris-chloris)-Spøttrup-20210309.mp3,song,male,adult,Anser anser,
142289,1,0.9996,57.0,62.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2012-07-21,15:00,Belgium,"Laarne, East Flanders, Flemish Region",51.0383,3.9184,10,Erik Roels,B,3:16,https://xeno-canto.org/142289/download,XC142289-European Greenfinch (Groenling) roep tuin 21.07.2012.mp3,"begging call, call, song",,juvenile,,"Locatie: Kalkendorp, woongebied met tuinen en hofjes
"
142289,2,0.9978,93.0,98.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2012-07-21,15:00,Belgium,"Laarne, East Flanders, Flemish Region",51.0383,3.9184,10,Erik Roels,B,3:16,https://xeno-canto.org/142289/download,XC142289-European Greenfinch (Groenling) roep tuin 21.07.2012.mp3,"begging call, call, song",,juvenile,,"Locatie: Kalkendorp, woongebied met tuinen en hofjes
"
142289,3,0.9984,134.0,139.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2012-07-21,15:00,Belgium,"Laarne, East Flanders, Flemish Region",51.0383,3.9184,10,Erik Roels,B,3:16,https://xeno-canto.org/142289/download,XC142289-European Greenfinch (Groenling) roep tuin 21.07.2012.mp3,"begging call, call, song",,juvenile,,"Locatie: Kalkendorp, woongebied met tuinen en hofjes
"
142289,4,0.999,169.0,174.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2012-07-21,15:00,Belgium,"Laarne, East Flanders, Flemish Region",51.0383,3.9184,10,Erik Roels,B,3:16,https://xeno-canto.org/142289/download,XC142289-European Greenfinch (Groenling) roep tuin 21.07.2012.mp3,"begging call, call, song",,juvenile,,"Locatie: Kalkendorp, woongebied met tuinen en hofjes
"
142289,5,0.9994,182.0,187.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2012-07-21,15:00,Belgium,"Laarne, East Flanders, Flemish Region",51.0383,3.9184,10,Erik Roels,B,3:16,https://xeno-canto.org/142289/download,XC142289-European Greenfinch (Groenling) roep tuin 21.07.2012.mp3,"begging call, call, song",,juvenile,,"Locatie: Kalkendorp, woongebied met tuinen en hofjes
"
186445,1,0.7182,2.0,7.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,C,0:44,https://xeno-canto.org/186445/download,XC186445-LS_30335 - 1 x mp3.mp3,song,,,,in mixed forest - background-noise: a little creek
186445,2,0.2274,9.0,14.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,C,0:44,https://xeno-canto.org/186445/download,XC186445-LS_30335 - 1 x mp3.mp3,song,,,,in mixed forest - background-noise: a little creek
186445,3,0.41,16.0,21.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,C,0:44,https://xeno-canto.org/186445/download,XC186445-LS_30335 - 1 x mp3.mp3,song,,,,in mixed forest - background-noise: a little creek
186445,4,0.3139,24.0,29.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,C,0:44,https://xeno-canto.org/186445/download,XC186445-LS_30335 - 1 x mp3.mp3,song,,,,in mixed forest - background-noise: a little creek
186445,5,0.5924,34.0,39.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,C,0:44,https://xeno-canto.org/186445/download,XC186445-LS_30335 - 1 x mp3.mp3,song,,,,in mixed forest - background-noise: a little creek
142608,1,0.3568,32.0,37.0,Certhia brachydactyla,Short-toed Treecreeper,True,Certhia brachydactyla,2013-07-13,09:15,France,"Les Champs Ronds, Péron, Ain",46.1674,5.9205,460,Bram Piot,B,0:47,https://xeno-canto.org/142608/download,XC142608-Cerbra_Farges_20130713_091310_edited.mp3,"call, song",male,juvenile,"Sylvia atricapilla, Emberiza citrinella, Chloris chloris",Calls by a family and a slightly unusual song (0:11) by a presumed adult.
186446,1,0.9236,4.0,9.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,B,0:59,https://xeno-canto.org/186446/download,XC186446-LS_30335 - 2 x mp3.mp3,song,,,Oriolus oriolus,in mixed forest - Oriolus oriolus short at: 0:33 alarm
186446,2,0.985,24.0,29.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,B,0:59,https://xeno-canto.org/186446/download,XC186446-LS_30335 - 2 x mp3.mp3,song,,,Oriolus oriolus,in mixed forest - Oriolus oriolus short at: 0:33 alarm
186446,3,0.98,30.0,35.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,B,0:59,https://xeno-canto.org/186446/download,XC186446-LS_30335 - 2 x mp3.mp3,song,,,Oriolus oriolus,in mixed forest - Oriolus oriolus short at: 0:33 alarm
186446,4,0.9022,40.0,45.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,B,0:59,https://xeno-canto.org/186446/download,XC186446-LS_30335 - 2 x mp3.mp3,song,,,Oriolus oriolus,in mixed forest - Oriolus oriolus short at: 0:33 alarm
186446,5,0.9486,47.0,52.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-11,08:00,Germany,"Augsburg, east of Siebenbrunn, Bavarian Swabia, Bavaria (Freuwe)",48.3447,10.9154,500,Buhl Johannes,B,0:59,https://xeno-canto.org/186446/download,XC186446-LS_30335 - 2 x mp3.mp3,song,,,Oriolus oriolus,in mixed forest - Oriolus oriolus short at: 0:33 alarm
1000703,1,0.8041,12.0,17.0,Motacilla alba,White Wagtail,True,Motacilla alba,2023-04-16,13:27,Denmark,"Viborg, Viborg Municipality, Central Denmark Region",56.4393,9.1827,40,Christian Bøggild,B,0:57,https://xeno-canto.org/1000703/download,XC1000703-Hvid-vipstjert-(Motacilla-alba)-Matr-230416-1327-sang.mp3,song,male,adult,"Turdus merula, Chloris chloris",
255106,1,0.9981,25.0,30.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2015-07-02,18:00,Poland,"Mława, mławski, mazowieckie",53.1181,20.3522,140,Piotr Szczypinski,B,2:32,https://xeno-canto.org/255106/download,XC255106-Chlorchloris-S_Poland_SZ_2015_07_03_18.00_5736.mp3,song,male,,,
255106,2,0.9999,59.0,64.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2015-07-02,18:00,Poland,"Mława, mławski, mazowieckie",53.1181,20.3522,140,Piotr Szczypinski,B,2:32,https://xeno-canto.org/255106/download,XC255106-Chlorchloris-S_Poland_SZ_2015_07_03_18.00_5736.mp3,song,male,,,
255106,3,0.9991,69.0,74.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2015-07-02,18:00,Poland,"Mława, mławski, mazowieckie",53.1181,20.3522,140,Piotr Szczypinski,B,2:32,https://xeno-canto.org/255106/download,XC255106-Chlorchloris-S_Poland_SZ_2015_07_03_18.00_5736.mp3,song,male,,,
255106,4,0.9997,84.0,89.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2015-07-02,18:00,Poland,"Mława, mławski, mazowieckie",53.1181,20.3522,140,Piotr Szczypinski,B,2:32,https://xeno-canto.org/255106/download,XC255106-Chlorchloris-S_Poland_SZ_2015_07_03_18.00_5736.mp3,song,male,,,
255106,5,0.9984,141.0,146.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2015-07-02,18:00,Poland,"Mława, mławski, mazowieckie",53.1181,20.3522,140,Piotr Szczypinski,B,2:32,https://xeno-canto.org/255106/download,XC255106-Chlorchloris-S_Poland_SZ_2015_07_03_18.00_5736.mp3,song,male,,,
187773,1,0.9689,13.0,18.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-16,10:00,Poland,"Zgliczyn Witowy, Mława County, Masovian Voivodeship",52.9478,20.0586,110,Piotr Szczypinski,B,1:34,https://xeno-canto.org/187773/download,XC187773-Chlorchlor-C_Poland_PSZ_2014_07_16_4629.mp3,call,,,"Oriolus oriolus, Lanius collurio, Emberiza citrinella",
187773,2,0.9753,27.0,32.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-16,10:00,Poland,"Zgliczyn Witowy, Mława County, Masovian Voivodeship",52.9478,20.0586,110,Piotr Szczypinski,B,1:34,https://xeno-canto.org/187773/download,XC187773-Chlorchlor-C_Poland_PSZ_2014_07_16_4629.mp3,call,,,"Oriolus oriolus, Lanius collurio, Emberiza citrinella",
187773,3,0.9878,44.0,49.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-16,10:00,Poland,"Zgliczyn Witowy, Mława County, Masovian Voivodeship",52.9478,20.0586,110,Piotr Szczypinski,B,1:34,https://xeno-canto.org/187773/download,XC187773-Chlorchlor-C_Poland_PSZ_2014_07_16_4629.mp3,call,,,"Oriolus oriolus, Lanius collurio, Emberiza citrinella",
187773,4,0.9429,70.0,75.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-16,10:00,Poland,"Zgliczyn Witowy, Mława County, Masovian Voivodeship",52.9478,20.0586,110,Piotr Szczypinski,B,1:34,https://xeno-canto.org/187773/download,XC187773-Chlorchlor-C_Poland_PSZ_2014_07_16_4629.mp3,call,,,"Oriolus oriolus, Lanius collurio, Emberiza citrinella",
187773,5,0.8962,84.0,89.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2014-07-16,10:00,Poland,"Zgliczyn Witowy, Mława County, Masovian Voivodeship",52.9478,20.0586,110,Piotr Szczypinski,B,1:34,https://xeno-canto.org/187773/download,XC187773-Chlorchlor-C_Poland_PSZ_2014_07_16_4629.mp3,call,,,"Oriolus oriolus, Lanius collurio, Emberiza citrinella",
187774,1,0.7791,3.0,8.0,Oriolus oriolus,Eurasian Golden Oriole,True,Oriolus oriolus,2014-07-16,10:00,Poland,"Zgliczyn Witowy, Mława County, Masovian Voivodeship",52.9478,20.0586,110,Piotr Szczypinski,B,0:24,https://xeno-canto.org/187774/download,XC187774-Ororiol-C_Poland_OSZ_2014_07_16_4629.mp3,call,,,Chloris chloris,
142819,1,0.7957,0.0,5.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2013-06-05,07:00,France,"La Palme, Aude, Languedoc-Roussillon",42.98,3.0013,60,Bernard BOUSQUET,B,0:55,https://xeno-canto.org/142819/download,XC142819-STE-049 oisillon la nouvelle.mp3,begging call,,,,Beggin calls of 2 juveniles of fringillidae sitting on a tree. I would think of Chloris chloris even if I did not see adults of this species in the zone while there were Serinus serinus and European Goldfinch .
142819,2,0.4805,10.0,15.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2013-06-05,07:00,France,"La Palme, Aude, Languedoc-Roussillon",42.98,3.0013,60,Bernard BOUSQUET,B,0:55,https://xeno-canto.org/142819/download,XC142819-STE-049 oisillon la nouvelle.mp3,begging call,,,,Beggin calls of 2 juveniles of fringillidae sitting on a tree. I would think of Chloris chloris even if I did not see adults of this species in the zone while there were Serinus serinus and European Goldfinch .
142819,3,0.3115,23.0,28.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2013-06-05,07:00,France,"La Palme, Aude, Languedoc-Roussillon",42.98,3.0013,60,Bernard BOUSQUET,B,0:55,https://xeno-canto.org/142819/download,XC142819-STE-049 oisillon la nouvelle.mp3,begging call,,,,Beggin calls of 2 juveniles of fringillidae sitting on a tree. I would think of Chloris chloris even if I did not see adults of this species in the zone while there were Serinus serinus and European Goldfinch .
142819,4,0.3688,34.0,39.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2013-06-05,07:00,France,"La Palme, Aude, Languedoc-Roussillon",42.98,3.0013,60,Bernard BOUSQUET,B,0:55,https://xeno-canto.org/142819/download,XC142819-STE-049 oisillon la nouvelle.mp3,begging call,,,,Beggin calls of 2 juveniles of fringillidae sitting on a tree. I would think of Chloris chloris even if I did not see adults of this species in the zone while there were Serinus serinus and European Goldfinch .
142819,5,0.8153,43.0,48.0,Chloris chloris,European Greenfinch,False,Chloris chloris,2013-06-05,07:00,France,"La Palme, Aude, Languedoc-Roussillon",42.98,3.0013,60,Bernard BOUSQUET,B,0:55,https://xeno-canto.org/142819/download,XC142819-STE-049 oisillon la nouvelle.mp3,begging call,,,,Beggin calls of 2 juveniles of fringillidae sitting on a tree. I would think of Chloris chloris even if I did not see adults of this species in the zone while there were Serinus serinus and European Goldfinch .
